time,latitude,longitude,speed,accuracy,bearing
1551713103459,30.0223,120.868187,61,0,43
1551713104445,30.02241,120.868305,59,0,43
1551713105422,30.022517,120.86842,58,1,43
1551713106526,30.022622,120.868535,58,1,44
1551713107425,30.022725,120.868648,56,0,44
1551713108488,30.022824,120.868761,55,0,45
1551713109392,30.022919,120.868875,55,0,47
1551713110473,30.023011,120.86899,54,0,48
1551713111416,30.023099,120.869107,54,0,50
1551713112447,30.023183,120.86923,55,0,53
1551713113386,30.023264,120.86936,56,0,55
1551713114381,30.023341,120.869494,56,1,57
1551713115351,30.023412,120.869628,54,1,59
1551713116447,30.023478,120.869762,53,0,61
1551713117380,30.023538,120.869899,53,1,64
1551713118392,30.023592,120.870034,52,0,66
1551713119384,30.02364,120.870167,49,0,68
1551713120417,30.023681,120.870293,46,0,70
1551713121358,30.023717,120.870412,43,1,71
1551713122363,30.02375,120.870524,41,1,71
1551713123418,30.02378,120.870629,37,1,72
1551713124376,30.023807,120.870721,33,1,72
1551713125309,30.023827,120.870807,30,1,76
1551713126381,30.023841,120.870885,27,1,80
1551713127355,30.023851,120.870951,22,1,79
1551713128422,30.023859,120.871003,17,1,79
1551713129342,30.023865,120.871043,13,1,79
1551713130398,30.023868,120.871069,7,1,79
1551713131307,30.02387,120.871084,4,1,79
1551713132338,30.02387,120.871091,0,1,79
1551713133367,30.023869,120.871094,0,1,0
1551713134310,30.023869,120.871094,0,1,0
1551713135308,30.023869,120.871094,0,1,0
1551713136316,30.023868,120.871095,0,1,0
1551713137204,30.023867,120.871096,0,1,0
1551713138235,30.023866,120.871097,0,1,0
1551713139226,30.023866,120.871098,0,1,0
1551713140274,30.023865,120.871099,0,1,0
1551713141283,30.023864,120.8711,0,1,0
1551713142280,30.023865,120.8711,0,1,0
1551713143237,30.023865,120.8711,0,1,0
1551713144224,30.023864,120.871101,0,1,0
1551713145198,30.023863,120.871102,0,1,0
1551713146235,30.023862,120.871102,0,1,0
1551713147230,30.023862,120.871102,0,1,0
1551713148270,30.023861,120.871102,0,1,0
1551713149201,30.02386,120.871103,0,1,0
1551713150268,30.02386,120.871103,0,1,0
1551713151197,30.02386,120.871103,0,1,0
1551713152262,30.023859,120.871104,0,1,0
1551713154230,30.023858,120.871105,0,1,0
1551713155230,30.023856,120.871106,0,1,0
1551713156228,30.023855,120.871107,0,1,0
1551713157195,30.023854,120.871107,0,1,0
1551713158210,30.023853,120.871108,0,1,0
1551713158272,30.023853,120.871108,0,1,0
1551713159266,30.023852,120.871109,0,1,0
1551713161224,30.02385,120.871109,0,1,0
1551713161224,30.02385,120.871109,0,1,0
1551713162327,30.023849,120.871109,0,1,0
1551713163305,30.023848,120.871108,0,1,0
1551713164414,30.023847,120.871108,0,1,0
1551713165352,30.023846,120.871108,0,1,0
1551713166398,30.023846,120.871107,0,1,0
1551713167387,30.023846,120.871107,0,1,0
1551713168397,30.023845,120.871106,0,1,0
1551713169351,30.023845,120.871106,0,1,0
1551713170389,30.023844,120.871105,0,1,0
1551713171354,30.023844,120.871105,0,1,0
1551713172364,30.023843,120.871104,0,1,0
1551713173317,30.023843,120.871103,0,1,0
1551713174388,30.023842,120.871103,0,1,0
1551713175353,30.023842,120.871103,0,1,0
1551713176419,30.023841,120.871102,0,1,0
1551713177361,30.023839,120.871103,0,1,0
1551713178409,30.023838,120.871104,0,1,0
1551713179348,30.023837,120.871104,0,1,0
